scenario,guidance_decay,param,value,success_rate,collision_rate,min_distance_to_obstacle,smoothness,path_length,inference_time_seconds
in_distribution_origin,baseline,guidance_margin,0.0,0.728,0.272,0.07348514348268509,0.26924341917037964,17.414791107177734,0.024119541980326176
in_distribution_origin,constant,guidance_margin,0.0,0.746,0.254,0.2231614887714386,0.295381098985672,17.887834548950195,0.025737499992828816
in_distribution_origin,constant,guidance_margin,0.25,0.772,0.228,0.3053533732891083,0.3367636799812317,18.591981887817383,0.02958229201612994
in_distribution_origin,constant,guidance_margin,0.5,0.806,0.194,0.4107174575328827,0.41679590940475464,19.862430572509766,0.026375999994343147
in_distribution_origin,constant,guidance_margin,0.75,0.8240000000000001,0.176,0.2881409227848053,0.5602984428405762,21.935876846313477,0.024981833004858345
in_distribution_origin,constant,guidance_margin,1.0,0.838,0.162,0.3840453028678894,0.8083569407463074,25.0986328125,0.02622762499959208
in_distribution_origin,constant,guidance_margin,1.25,0.886,0.114,0.44069746136665344,1.2312783002853394,29.714862823486328,0.02556354200351052
in_distribution_origin,constant,guidance_margin,1.5,0.94,0.06,0.35918477177619934,1.9581406116485596,36.26751708984375,0.02630883301026188
in_distribution_origin,constant,guidance_margin,1.75,0.976,0.024,0.49097326397895813,3.212198495864868,45.323638916015625,0.026564958010567352
in_distribution_origin,constant,guidance_margin,2.0,0.982,0.018,0.6567025184631348,5.336719512939453,57.46892547607422,0.025710333022288978
in_distribution_origin,constant,guidance_margin,2.5,0.99,0.01,0.8358118534088135,14.120872497558594,92.43869018554688,0.02714595801080577
in_distribution_origin,distance_gated,guidance_margin,0.0,0.746,0.254,0.2231614887714386,0.295381098985672,17.887834548950195,0.03320554201491177
in_distribution_origin,distance_gated,guidance_margin,0.25,0.77,0.23,0.31099969148635864,0.33348843455314636,18.529335021972656,0.027531499974429607
in_distribution_origin,distance_gated,guidance_margin,0.5,0.808,0.192,0.412131667137146,0.3970736861228943,19.527076721191406,0.02739704100531526
in_distribution_origin,distance_gated,guidance_margin,0.75,0.8180000000000001,0.182,0.37779879570007324,0.49539437890052795,20.967512130737305,0.029163625004002824
in_distribution_origin,distance_gated,guidance_margin,1.0,0.844,0.156,0.37110355496406555,0.6428506970405579,22.96038246154785,0.02821241700439714
in_distribution_origin,distance_gated,guidance_margin,1.25,0.87,0.13,0.4853827655315399,0.8618427515029907,25.64415168762207,0.029070249991491437
in_distribution_origin,distance_gated,guidance_margin,1.5,0.912,0.088,0.5520942211151123,1.1874269247055054,29.191917419433594,0.029026083007920533
in_distribution_origin,distance_gated,guidance_margin,1.75,0.948,0.052,0.5187446475028992,1.676155924797058,33.82171630859375,0.028541459003463387
in_distribution_origin,distance_gated,guidance_margin,2.0,0.98,0.02,0.6033108234405518,2.4153499603271484,39.785037994384766,0.028770958015229553
in_distribution_origin,distance_gated,guidance_margin,2.5,0.99,0.01,0.5785969495773315,5.182753086090088,56.74604797363281,0.02873312498559244
ood_shifted_y,baseline,guidance_margin,0.0,0.762,0.238,0.0766620934009552,0.26924341917037964,17.414791107177734,0.02281554098590277
ood_shifted_y,constant,guidance_margin,0.0,0.776,0.224,0.21720543503761292,0.27550336718559265,17.50625228881836,0.027301958005409688
ood_shifted_y,constant,guidance_margin,0.25,0.8200000000000001,0.18,0.2706383168697357,0.2853354215621948,17.637727737426758,0.025715041992953047
ood_shifted_y,constant,guidance_margin,0.5,0.868,0.132,0.2982093393802643,0.30263668298721313,17.864765167236328,0.02643883301061578
ood_shifted_y,constant,guidance_margin,0.75,0.91,0.09,0.3386619985103607,0.32823726534843445,18.204072952270508,0.02656562498304993
ood_shifted_y,constant,guidance_margin,1.0,0.95,0.05,0.6156240701675415,0.36155223846435547,18.665979385375977,0.026655957975890487
ood_shifted_y,constant,guidance_margin,1.25,0.984,0.016,0.6031360626220703,0.40205448865890503,19.27265167236328,0.02620412499527447
ood_shifted_y,constant,guidance_margin,1.5,0.994,0.006,0.8016138672828674,0.4544532001018524,20.090309143066406,0.026144875009777024
ood_shifted_y,constant,guidance_margin,1.75,1.0,0.0,1.022306203842163,0.5239454507827759,21.194578170776367,0.02648591698380187
ood_shifted_y,constant,guidance_margin,2.0,1.0,0.0,1.418067216873169,0.624947726726532,22.693592071533203,0.026892208989011124
ood_shifted_y,constant,guidance_margin,2.5,1.0,0.0,1.291290521621704,0.9969680905342102,27.38162612915039,0.02606541701243259
ood_shifted_y,distance_gated,guidance_margin,0.0,0.776,0.224,0.21720543503761292,0.27550336718559265,17.50625228881836,0.028405874996678904
ood_shifted_y,distance_gated,guidance_margin,0.25,0.8160000000000001,0.184,0.2788245379924774,0.28500819206237793,17.63364601135254,0.029697999998461455
ood_shifted_y,distance_gated,guidance_margin,0.5,0.864,0.136,0.2893693447113037,0.29983851313591003,17.82532501220703,0.02904691602452658
