scenario,guidance_decay,param,value,success_rate,collision_rate,min_distance_to_obstacle,smoothness,path_length,inference_time_seconds
in_distribution_origin,baseline,guidance_scale,0.0,0.728,0.272,0.07348514348268509,0.26924341917037964,17.414791107177734,0.039694834005786106
in_distribution_origin,conditional,guidance_scale,0.0,0.722,0.278,0.07952055335044861,0.2885024845600128,17.806528091430664,0.0223438749962952
in_distribution_origin,constant,guidance_scale,0.0,0.728,0.272,0.07348514348268509,0.26924341917037964,17.414791107177734,0.02853104198584333
in_distribution_origin,conditional_constant,guidance_scale,0.0,0.722,0.278,0.07952055335044861,0.2885024845600128,17.806528091430664,0.02523358300095424
in_distribution_origin,constant,guidance_scale,0.5,0.81,0.19,0.1677311807870865,0.456391841173172,20.837156295776367,0.02533533298992552
in_distribution_origin,conditional_constant,guidance_scale,0.5,0.808,0.192,0.1427711546421051,0.493313729763031,21.462554931640625,0.02478441598941572
in_distribution_origin,constant,guidance_scale,1.0,0.8260000000000001,0.174,0.3039453327655792,0.8363308906555176,25.949766159057617,0.025901124987285584
in_distribution_origin,conditional_constant,guidance_scale,1.0,0.85,0.15,0.1956581324338913,0.908990740776062,26.895036697387695,0.025797625014092773
in_distribution_origin,constant,guidance_scale,1.5,0.872,0.128,0.2938670217990875,1.4773057699203491,32.557403564453125,0.025593290978576988
in_distribution_origin,conditional_constant,guidance_scale,1.5,0.896,0.104,0.3412156403064728,1.6315293312072754,34.03014373779297,0.025151874986477196
in_distribution_origin,constant,guidance_scale,2.0,0.922,0.078,0.27456986904144287,2.440432071685791,40.324378967285156,0.02511983399745077
in_distribution_origin,conditional_constant,guidance_scale,2.0,0.954,0.046,0.4275706708431244,2.7641265392303467,42.67224884033203,0.025569791003363207
in_distribution_origin,constant,guidance_scale,2.5,0.972,0.028,0.3912510573863983,3.740180015563965,48.77764892578125,0.02523212498635985
in_distribution_origin,conditional_constant,guidance_scale,2.5,0.98,0.02,0.8205937743186951,4.341137409210205,52.300235748291016,0.02545099999406375
in_distribution_origin,constant,guidance_scale,3.0,0.982,0.018,0.6567025184631348,5.336719512939453,57.46892547607422,0.02488512499257922
in_distribution_origin,conditional_constant,guidance_scale,3.0,0.992,0.008,0.7397531270980835,6.2730793952941895,62.14741134643555,0.024785415997030213
in_distribution_origin,constant,guidance_scale,4.0,0.992,0.008,0.8410540819168091,9.056407928466797,74.0420913696289,0.02479866601061076
in_distribution_origin,conditional_constant,guidance_scale,4.0,0.998,0.002,0.5715516805648804,10.548786163330078,80.15248107910156,0.025080249994061887
in_distribution_origin,constant,guidance_scale,5.0,1.0,0.0,1.017987847328186,12.762101173400879,87.75757598876953,0.02506987500237301
in_distribution_origin,conditional_constant,guidance_scale,5.0,0.998,0.002,0.9783501029014587,14.523247718811035,94.27157592773438,0.030744624993531033
in_distribution_origin,distance_gated,guidance_scale,0.0,0.728,0.272,0.07348514348268509,0.26924341917037964,17.414791107177734,0.02874524999060668
in_distribution_origin,conditional_distance_gated,guidance_scale,0.0,0.722,0.278,0.07952055335044861,0.2885024845600128,17.806528091430664,0.0271763339987956
in_distribution_origin,distance_gated,guidance_scale,0.5,0.8,0.2,0.16245321929454803,0.3998550474643707,19.84819984436035,0.027283541014185175
